district,mandal,village,lat,long,date,value
KAMAREDDY,Naga_Reddipet,Malthummeda,78.14,18.11,01/05/23,12.09
KAMAREDDY,Naga_Reddipet,Nasurullabad,77.87,18.47,01/05/23,2.68
KAMAREDDY,Nizamsagar,Achampet,77.93,18.21,01/05/23,7.7
KAMAREDDY,Nizamsagar,Mohammadnagar,77.91,18.29,01/05/23,2.62
KAMAREDDY,Pedda Kodapgal,Shanthapur,77.73,18.33,01/05/23,5.82
KAMAREDDY,Pedda Kodapgal,Maddela Cheruvu,77.85,18.35,01/05/23,9.78
KAMAREDDY,Rajampet,Argonda,78.27,18.23,01/05/23,15.38
KAMAREDDY,Rajampet,Kondapur,78.29,18.18,01/05/23,16.68
KAMAREDDY,Ramareddy,Reddypet,78.42,18.41,01/05/23,10.74
KAMAREDDY,Sadasivanagar,Sadasivanagar,78.26,18.41,01/05/23,12.44
KAMAREDDY,Tadwai,Yerrapahad,78.22,18.29,01/05/23,1.9
KAMAREDDY,Tadwai,Annaram,78.24,18.35,01/05/23,18.13
KAMAREDDY,Yellareddy,Yellareddy,78.02,18.19,01/05/23,13.1
KAMAREDDY,Banswada,HANMAJIPET ,78,18.43,01/05/23,10.9
KAMAREDDY,Bhiknur,KACHAPOOR ,78.45,18.19,01/05/23,13.85
KAMAREDDY,Bhiknur,MALLUPALLY ,78.45,18.16,01/05/23,27.86
KAMAREDDY,Bichkunda,DOULTHAPUR ,77.7,18.38,01/05/23,5.51
KAMAREDDY,Bichkunda,GUNDE NEMLI ,77.81,18.36,01/05/23,
KAMAREDDY,Bichkunda,PD DADGI ,77.74,18.37,01/05/23,17.21
KAMAREDDY,Domakonda,AMBERPET ,78.49,18.26,01/05/23,5.97
KAMAREDDY,Domakonda,ANCHANOOR ,78.46,18.24,01/05/23,19.84
KAMAREDDY,Gandhari,CHADMAL ,78.08,18.46,01/05/23,24
KAMAREDDY,Gandhari,GURJAL ,78.14,18.36,01/05/23,20.63
KAMAREDDY,Lingampet,LINGAMPET ,78.13,18.24,01/05/23,3.76
KAMAREDDY,Lingampet,PARMALLA,78.13,18.2,01/05/23,10.59
KAMAREDDY,Machareddy,RAJKHANPET ,78.52,18.36,01/05/23,10.71
KAMAREDDY,Madnur,MADNOOR ,77.63,18.5,01/05/23,8.09
KAMAREDDY,Madnur,RUSEGAON,77.68,18.44,01/05/23,1.6
KAMAREDDY,Naga_Reddipet,WADALPARTHY ,78.15,18.14,01/05/23,19.28
KAMAREDDY,Naga_Reddipet,BOMMADEVPALLY ,77.9,18.47,01/05/23,2.12
KAMAREDDY,Naga_Reddipet,BOPPASPALLY ,77.84,18.49,01/05/23,2.95
KAMAREDDY,Naga_Reddipet,MIRZAPUR ,77.84,18.45,01/05/23,4.55
KAMAREDDY,Nizamsagar,BURGUL ,77.94,18.26,01/05/23,3.83
KAMAREDDY,Nizamsagar,NARVA ,77.97,18.26,01/05/23,1.62
KAMAREDDY,Nizamsagar,VELGANOOR ,77.87,18.2,01/05/23,12.03
KAMAREDDY,Pedda Kodapgal,CHILLARGI ,77.83,18.29,01/05/23,16.65
KAMAREDDY,Pedda Kodapgal,GODMAGAON ,77.76,18.23,01/05/23,16.86
KAMAREDDY,Pedda Kodapgal,KURTHI / RAMPUR,77.88,18.3,01/05/23,9.28
KAMAREDDY,Pedda Kodapgal,NAGAMPALLY ,77.85,18.25,01/05/23,12.71
