SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
92,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,07-08-2022 17:30,20
93,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,08-08-2022 08:30,21
94,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,08-08-2022 17:30,2
95,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-08-2022 08:30,10
96,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-08-2022 17:30,4.2
97,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-08-2022 08:30,5
98,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,14-08-2022 08:30,40
99,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,14-08-2022 17:30,7
100,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,15-08-2022 08:30,10.5
101,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,15-08-2022 17:30,5
102,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,22-08-2022 02:30,2
103,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,28-08-2022 23:30,2
104,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,29-08-2022 08:30,3.4
105,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,30-08-2022 02:30,18
106,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,31-08-2022 02:30,5
107,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,31-08-2022 08:30,8
108,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,04-09-2022 08:30,8
109,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-09-2022 14:30,4.2
110,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-09-2022 20:30,15.5
111,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,09-09-2022 23:30,8.2
112,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-09-2022 02:30,2.5
113,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-09-2022 08:30,10
114,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-09-2022 11:30,2.3
115,ALLAM VARI GHANAPUR,CWC,36,Telangana,522,WARANGAL RURAL,ETURNAGARAM,-,-,Godavari,Godavari,Peddavagu,-,-,Peddavagu,18.33777778,80.43000000,10-09-2022 14:30,3.4
